rain_15m_mm,rain_60m_mm,rain_180m_mm,rain_intensity_mm_h,elevation_m,slope_pct,distance_to_drain_m,drainage_capacity_ratio,tide_m,historical_flood_frequency,impervious_fraction,label
45.0,180,480,180,11.0,0.7,36.0,0.894,4.48,0.15,0.55,1
40.0,160,440,160,3.0,3.1,60.0,2.0,4.48,0.75,0.85,1
37.5,150,420,150,7.0,1.9,42.0,2.0,4.48,0.3,0.6,1
47.5,190,500,190,5.0,2.5,42.0,2.0,4.48,0.3,0.7,1
10.5,42,115,42,5.0,2.5,52.0,0.768,4.3,0.55,0.8,1
12.2,49,135,49,5.0,2.5,42.0,1.161,4.3,0.3,0.7,1
10.5,42,115,42,6.0,2.2,42.0,0.166,4.3,0.3,0.75,1
12.8,51,140,51,4.0,2.8,48.0,1.217,4.3,0.45,0.8,1
12.8,51,155,51,5.0,2.5,52.0,0.93,4.0,0.55,0.8,1
12.8,51,155,51,7.0,1.9,42.0,0.742,4.0,0.3,0.6,1
12.2,49,148,49,9.0,1.3,44.0,0.769,4.0,0.35,0.7,1
11.0,44,133,44,4.0,2.8,48.0,1.06,4.0,0.45,0.8,1
1.8,7,21,7,3.0,3.1,60.0,0.159,3.5,0.75,0.85,1
1.6,6.5,20,6.5,6.0,2.2,42.0,0.055,3.5,0.3,0.75,1
2.1,8.4,25,8.4,6.0,2.2,42.0,0.061,3.8,0.3,0.75,1
1.4,5.4,16,5.4,5.0,2.5,42.0,0.156,3.8,0.3,0.7,1
1.6,6.5,19,6.5,5.0,2.5,52.0,0.131,3.6,0.55,0.8,1
1.4,5.4,16,5.4,6.0,2.2,42.0,0.051,3.6,0.3,0.75,1
1.5,5.9,18,5.9,10.0,1.0,34.0,0.053,3.6,0.1,0.5,1
2.5,10.2,30,10.2,7.0,1.9,42.0,0.161,4.0,0.3,0.6,1
2.5,10.2,30,10.2,3.0,3.1,60.0,0.211,4.0,0.75,0.85,1
2.5,10.2,30,10.2,6.0,2.2,42.0,0.066,4.0,0.3,0.75,1
1.2,4.7,14,4.7,4.0,2.8,48.0,0.183,3.7,0.45,0.8,1
1.1,4.2,13,4.2,5.0,2.5,52.0,0.09,3.7,0.55,0.8,1
1.2,4.9,15,4.9,9.0,1.3,44.0,0.092,3.7,0.35,0.7,1
2.2,9.1,28,9.1,8.0,1.6,40.0,0.144,3.7,0.25,0.65,1
6.2,25.0,65,25.0,4.0,2.8,48.0,0.636,4.0,0.45,0.8,1
5.5,22.0,58,22.0,5.0,2.5,52.0,0.409,4.0,0.55,0.8,1
6.4,25.6,40,25.6,6.0,2.2,42.0,0.115,2.0,0.3,0.75,0
10.7,42.8,60,42.8,4.0,2.8,48.0,1.033,2.0,0.45,0.8,0
3.8,15.0,30,15.0,3.0,3.1,60.0,0.289,2.5,0.75,0.85,0
0.1,0.6,1.2,0.6,12.0,0.4,36.0,0.013,1.23,0.15,0.55,0
0.3,1.3,2.6,1.3,12.0,0.4,36.0,0.017,1.11,0.15,0.55,0
0.3,1.1,2.2,1.1,9.0,1.3,44.0,0.034,1.55,0.35,0.7,0
0.0,0.1,0.2,0.1,9.0,1.3,44.0,0.018,1.76,0.35,0.7,0
0.0,0.1,0.2,0.1,7.0,1.9,42.0,0.017,1.65,0.3,0.6,0
0.0,0.1,0.2,0.1,7.0,1.9,42.0,0.017,1.14,0.3,0.6,0
0.2,0.8,1.6,0.8,8.0,1.6,40.0,0.012,2.24,0.25,0.65,0
0.1,0.2,0.4,0.2,8.0,1.6,40.0,0.01,1.33,0.25,0.65,0
0.3,1.3,2.6,1.3,5.0,2.5,52.0,0.038,2.42,0.55,0.8,0
0.3,1.2,2.4,1.2,5.0,2.5,52.0,0.036,1.6,0.55,0.8,0
0.5,2.0,4.0,2.0,3.0,3.1,60.0,0.078,1.07,0.75,0.85,0
0.4,1.7,3.4,1.7,3.0,3.1,60.0,0.074,1.43,0.75,0.85,0
0.1,0.3,0.6,0.3,4.0,2.8,48.0,0.085,1.18,0.45,0.8,0
0.1,0.6,1.2,0.6,4.0,2.8,48.0,0.091,2.22,0.45,0.8,0
0.1,0.4,0.8,0.4,6.0,2.2,42.0,0.036,1.87,0.3,0.75,0
0.3,1.3,2.6,1.3,6.0,2.2,42.0,0.038,1.56,0.3,0.75,0
0.3,1.1,2.2,1.1,10.0,1.0,34.0,0.019,1.09,0.1,0.5,0
0.0,0.1,0.2,0.1,10.0,1.0,34.0,0.012,1.31,0.1,0.5,0
0.3,1.4,2.8,1.4,5.0,2.5,42.0,0.064,1.64,0.3,0.7,0
0.1,0.6,1.2,0.6,5.0,2.5,42.0,0.045,1.88,0.3,0.7,0
0.2,0.9,1.8,0.9,11.0,0.7,36.0,0.052,1.45,0.15,0.55,0
0.4,1.6,3.2,1.6,11.0,0.7,36.0,0.055,2.05,0.15,0.55,0
0.1,0.5,1.0,0.5,8.0,1.6,40.0,0.018,1.86,0.25,0.6,0
0.3,1.1,2.2,1.1,8.0,1.6,40.0,0.019,2.31,0.25,0.6,0
